"channel_name","total_conversions","total_conversion_value"
"Instagram",3016.05463834942,18851.0061760856
"Online Display",2112.08259739752,13150.975399582
"Paid Search",4321.52398304091,26975.3394479498
"Facebook",5276.32937360791,32992.1678005899
"Online Video",2913.00940760424,18261.5111757926
